Index,PedSpeed,EgoSpeed,PedDist,Fitness_Min distance_LoFi,Fitness_Velocity at min distance_LoFi,Fitness_Min distance_HiFi,Fitness_Velocity at min distance_HiFi,Critical_LoFi,Critical_HiFi
0,0.30448611,3.78741683,16.47644470,2.58413551,-3.80000256,2.56047913,-3.96274752,0,0
1,0.30490719,4.48295017,19.88663044,2.50149200,-4.51043344,3.23712002,-7.15269412,0,0
2,0.30548503,4.45806729,12.54435658,3.00975526,-4.42999559,5.94319787,-4.22984386,0,0
3,0.30677872,4.48295017,12.54435658,3.00173702,-4.46999994,4.27652413,-3.92959617,0,0
4,0.30683258,8.15262381,19.19934034,2.96925902,-7.13951063,3.08999079,-5.41333431,0,0
5,0.30753392,4.51045179,19.19934034,2.54628945,-4.50498662,1.49090104,-4.06772569,0,0
6,0.30798281,4.51567472,12.54435658,3.00471666,-4.54998213,0.75038940,-5.14048698,0,1
7,0.30952514,4.47859952,12.65379420,2.98858248,-4.47011076,2.54543370,-7.01932112,0,0
8,0.30952514,4.48295017,12.54435658,2.99441666,-4.47006252,3.24300244,-7.98262332,0,0
9,0.30952514,4.48295017,19.88663044,2.48344608,-4.50995334,1.99023575,-7.92929435,0,0
10,0.31618902,8.15262381,12.78236358,3.27271806,-7.13518006,0.44218133,-4.37202177,0,1
11,0.31693092,4.48288871,16.09507852,2.72470159,-4.51499505,21.30032263,-0.00000000,0,0
12,0.32233663,4.54662022,18.15045210,2.56617008,-4.54499472,4.02216843,-2.75164442,0,0
13,0.32587957,4.36280958,19.19934034,2.43820797,-4.36055171,3.73787662,-3.98489452,0,0
14,0.34401843,3.93335420,18.13993323,2.34647658,-3.93021394,1.96054572,-4.32609080,0,0
15,0.34623543,4.44645053,12.54435658,2.93088985,-4.43499499,2.94262687,-4.39405836,0,0
16,0.37253079,5.27587493,11.02867953,3.11078624,-5.27499848,4.12223254,-4.06422020,0,0
17,0.38665737,4.16498787,12.54435658,2.79152207,-4.18501147,4.97846797,-5.57095609,0,0
