Index,PedSpeed,EgoSpeed,PedDist,Fitness_Min distance_LoFi,Fitness_Velocity at min distance_LoFi,Fitness_Min distance_HiFi,Fitness_Velocity at min distance_HiFi,Critical_LoFi,Critical_HiFi
175,2.45862780,3.15591268,9.93844945,1.89409322,-0.00000000,3.77163359,-4.81422654,0,0
176,2.46101716,6.78055123,5.44872167,3.23847512,-6.78000161,2.38351538,-3.22984954,0,0
177,2.50247376,6.98755041,5.20838368,3.45008449,-6.85919217,1.01649756,-6.00160216,0,0
179,2.53767229,4.50935049,13.14521034,3.55291072,-0.24780793,4.79195769,-5.58349672,0,0
180,2.53898913,4.99558156,14.67348591,4.43858192,-0.40880053,3.31296171,-7.67333931,0,0
184,2.61872170,6.30059772,10.02006072,1.04802303,-4.99012882,1.94871123,-3.34007407,0,0
186,2.62471804,6.86334947,6.59716432,2.72125548,-6.85999600,3.44815546,-3.58736164,0,0
187,2.63626761,5.94502318,8.05926451,1.87961231,-5.84994137,2.20889781,-4.48566118,0,0
188,2.64267411,4.89167889,17.39616984,11.71494757,-4.87500256,3.16044075,-7.64857094,0,0
191,2.71124513,7.46112447,9.40653029,1.67466565,-7.03781237,3.42073054,-8.24342526,0,0
193,2.72684599,5.90516929,12.16319207,1.01140794,-1.72005722,2.67097211,-8.25617282,0,0
194,2.72897893,3.80327765,13.41294618,4.66068322,-0.36297411,3.37275476,-6.77772404,0,0
195,2.75317915,8.02519942,8.38643598,2.05845680,-7.05461373,3.57879072,-2.60419529,0,0
196,2.75324953,5.61720440,7.26287744,2.16682453,-5.62518845,3.13531833,-4.54130812,0,0
197,2.75792535,6.15976322,6.02424743,2.87368887,-6.15982551,1.52201134,-7.08882456,0,0
198,2.76530333,4.11390130,15.62536660,5.22248934,-3.12312055,4.73665350,-5.58686337,0,0
199,2.76838243,8.25736935,9.44324192,1.72393134,-7.01656795,3.02525791,-3.24375858,0,0
200,2.78234813,4.07422353,15.06163371,5.16973353,-2.16251109,3.62713120,-3.05063602,0,0
201,2.81351323,5.72123774,12.37604410,1.42866528,-1.44013467,2.11142121,-7.02831885,0,0
203,2.81958462,5.58598750,5.66518157,2.95412585,-5.59989870,2.30601322,-6.44211406,0,0
207,2.85759576,7.81523165,10.31232545,1.26767980,-6.58738600,1.67109611,-3.40887274,0,0
208,2.86532137,7.66087210,15.98818374,2.44109752,-2.00861544,3.37061271,-3.12475516,0,0
213,2.95656230,5.57570239,13.72995972,3.32899662,-0.98012098,3.55367044,-5.51288062,0,0
215,2.98164392,4.98859354,7.80064331,1.44244739,-4.63032790,2.70220404,-7.03952861,0,0
216,2.98523793,5.44896236,16.25388755,10.36677796,-5.41012388,3.34420079,-8.04871191,0,0
217,3.00301930,7.07782881,9.44332362,1.37575183,-6.58006004,2.15872409,-8.05591683,0,0
219,3.02431195,4.91153273,6.50259547,2.16124779,-4.88500176,2.53181151,-6.94509450,0,0
220,3.03664940,6.70991423,7.60762573,2.04804383,-6.72998622,1.32176651,-4.20540995,0,0
222,3.06917595,8.25122614,19.55974615,13.67595399,-6.14899670,2.23963508,-6.26551523,0,0
224,3.09041222,5.27846768,8.66346081,1.02408606,-4.45993464,2.00569539,-6.88874926,0,0
225,3.10331309,6.96500815,17.79003303,11.75694436,-6.90106419,1.94865058,-7.46297136,0,0
226,3.11240735,5.05422574,11.14876632,1.62909392,-1.26002267,2.64996456,-6.01622363,0,0
229,3.13458492,4.68144529,12.12760350,2.97885815,-0.79004412,2.11854384,-4.63362647,0,0
230,3.14088223,6.92177003,17.01542870,10.95171456,-6.92998999,2.62677704,-4.34459089,0,0
233,3.18475705,6.10676031,18.81735199,12.95514642,-6.09006570,1.62437333,-4.16850082,0,0
234,3.18753132,4.90435862,17.88822779,12.46026288,-4.87999036,2.84608491,-4.73013271,0,0
236,3.20501654,7.90905602,9.99891118,1.18521667,-6.70510068,1.49672519,-4.11455880,0,0
237,3.22124486,8.26865830,17.74021472,11.75308101,-6.89990471,1.70843008,-8.23247443,0,0
240,3.24419028,8.17573261,16.71169702,10.65862766,-7.29946835,1.45251560,-6.01410878,0,0
