Index,goal_center_x,goal_center_y,goal_velocity_min,goal_velocity_max,num_npc,lane_count,npc_x0,npc_v_max,npc_seed,cutin_tx,cutin_delay,Fitness_Min distance to obstacle_LoFi,Fitness_Distance to goal_LoFi,Fitness_Min distance to obstacle_HiFi,Fitness_Distance to goal_HiFi,Critical_LoFi,Critical_HiFi
0,150.03505373,0.45019117,12.61400774,22.32887508,1.78470459,1.56990449,11.44464051,16.09187773,82.83540065,0.56637719,0.35422196,1.16926866,1.34792895,1.69738436,0.00000000,1,0
1,150.11102702,0.45019117,12.61400774,21.07584223,1.78470459,1.58537207,11.44464051,16.09187773,82.83540065,0.56637719,0.35422196,0.93275660,0.80851059,1.76277795,0.00000000,1,0
2,151.40485148,0.33771417,10.75440266,21.09941356,1.33167997,2.06193025,9.28238103,18.45742848,33.54917493,0.62102154,0.25058976,1.66156523,0.15506394,1.28647453,0.00000000,1,0
3,151.42361320,0.33771417,10.60975991,21.09941356,1.33163292,2.06193025,9.25780017,18.45531441,33.54940742,0.56823644,0.25058976,1.18567046,0.18618298,1.26571793,0.00000000,1,0
4,151.46215952,0.27953658,13.20421594,21.11210598,1.33006622,2.06134192,9.30654861,18.44322877,33.85782144,0.56741982,0.39770437,0.65336411,2.09466071,1.24207121,0.00000000,1,0
5,151.47452068,0.33771417,10.61706995,21.15295611,1.33167997,2.06193025,9.18210448,18.45531441,33.55503404,0.62102154,0.24926928,0.47138259,1.80938647,1.40002296,0.00000000,1,0
6,151.47601663,0.33771431,10.61001825,22.05461233,1.33167997,2.06208227,9.33617565,18.45659159,33.54866672,0.61861803,0.25083011,0.65336506,2.03620457,1.21703805,0.00000000,1,0
7,151.47644002,0.22055892,10.55548533,21.98358333,1.33167997,2.06191942,9.30615473,18.45659159,33.54917493,0.61861803,0.25058976,0.59131379,2.04600670,1.34463901,0.00000000,1,0
8,151.47644002,0.22423056,10.64325944,23.54514591,1.66805735,2.05494422,9.25780017,18.45659159,33.54917493,0.61861803,0.25197710,0.42413428,1.89024858,1.29043092,0.00000000,1,0
9,151.47644002,0.33770939,10.61001825,21.95564825,1.33118176,2.06134365,9.21647704,18.45659159,33.98074541,0.61861803,0.25058976,0.47138259,1.80937420,1.30700455,0.00000000,1,0
10,151.47644002,0.33771431,10.61001825,21.98358333,1.33167997,2.06191942,9.25780017,18.45659159,33.54917493,0.61861803,0.25058976,0.42413428,1.77677174,1.33971548,0.00000000,1,0
11,151.47832699,0.27953658,13.34884592,21.95456141,1.33175069,2.06134171,10.54655573,18.77858072,33.84498209,0.62134810,0.39806443,1.02916237,0.12852536,1.27763616,0.00000000,1,0
12,151.48666315,0.33725885,10.60176429,22.36077890,1.32999550,2.06193025,9.25780017,18.45531441,33.56201428,0.61986832,0.24600742,0.42413428,1.77711435,1.35282061,0.00000000,1,0
13,151.49637051,0.27709885,12.47125857,22.35978109,1.33145172,2.05458287,9.22175358,18.45531101,33.54943940,0.61535121,0.24605325,0.47138259,1.86980537,0.44180525,2.03588080,1,1
14,151.49637051,0.34061526,12.48088654,22.35973017,1.33145172,2.05458287,9.22696844,18.45531441,33.54773740,0.61874193,0.23803137,0.42413428,1.77365101,1.33001333,0.00000000,1,0
15,151.49637051,0.34063118,12.48088654,22.37170646,1.33145172,2.05480508,9.22696844,18.45531441,33.96600692,0.61874193,0.41556309,0.42413428,1.77363509,1.27949200,0.00000000,1,0
16,151.49637051,0.34252361,12.48088654,22.35978109,1.33145172,2.05458287,9.22696844,18.45531441,33.54917493,0.61874193,0.24605325,0.42413428,1.77174277,1.30948037,0.00000000,1,0
17,151.49637051,0.34252361,12.48919107,22.42062406,1.34843815,2.06177074,9.22696844,18.45531441,33.54917493,0.62098840,0.41300779,0.42413428,1.77174277,1.29156204,0.00000000,1,0
18,151.49637051,0.34253954,12.48088654,22.37175738,1.33145172,2.05480508,9.22696844,18.45531441,33.96744445,0.61874193,0.42358497,0.42413428,1.77172685,1.27625078,0.00000000,1,0
19,151.49714092,0.33182559,10.60975991,21.96946453,1.33167997,2.06193025,9.25780017,18.78485428,33.54917493,0.62102154,0.25058976,0.42413428,1.78243164,1.37215626,0.00000000,1,0
20,151.49714092,0.33184090,10.60975991,21.11158579,1.33167997,2.06193025,9.25780017,18.78485428,33.54917493,0.62102154,0.25058976,0.42413428,1.78241633,1.32381851,0.00000000,1,0
21,151.49714092,0.33187883,10.60975991,21.96328985,1.33167997,2.06193025,9.25780017,18.44423037,33.56262002,0.62102154,0.25058976,0.42413428,1.78237841,1.25396035,0.00000000,1,0
22,151.49714092,0.33769302,10.51013048,21.95978065,1.33156780,2.06193025,9.25780017,18.45531441,33.54917493,0.61880814,0.24333827,0.42413428,1.77656456,1.28616467,0.00000000,1,0
23,151.49714092,0.33769624,10.60964782,21.09941356,1.33167997,2.06132468,9.25780017,18.45531441,33.54917493,0.62102154,0.24027257,0.42413428,1.77656135,1.20669824,0.00000000,1,0
24,151.49714092,0.33769886,10.60975991,21.95729230,1.33167997,2.06193025,9.25780017,18.45531441,33.54917493,0.62102154,0.25058976,0.42413428,1.77655872,1.20031312,0.00000000,1,0
25,151.49714092,0.33769886,10.60975991,21.99144501,1.33167997,2.06193025,9.25780017,18.45531441,33.54917493,0.62102154,0.25058976,0.42413428,1.77655872,1.43358343,0.00000000,1,0
26,151.49714092,0.33771417,10.60903534,21.09941356,1.34839781,2.06193025,10.38694962,18.45531441,33.95176328,0.62102154,0.25058976,0.83080067,2.03889036,1.23837537,0.00000000,1,0
27,151.49714092,0.33771417,10.60932623,21.09941356,1.32995494,2.06193025,10.56593900,18.45529763,33.54970969,0.61866589,0.25151171,0.49479017,1.81207462,1.40090132,0.00000000,1,0
28,151.49714092,0.33771417,10.60975991,21.09941356,1.32995494,2.06193025,9.25780017,18.45531441,33.54970969,0.56855396,0.25058976,0.42413428,1.77654342,1.31226837,0.00000000,1,0
29,151.49714092,0.33771417,10.60975991,21.09941356,1.33167997,2.06193025,9.25780017,18.45531441,33.54917493,0.62102154,0.25058976,0.42413428,1.77654342,1.28363251,0.00000000,1,0
30,151.49714092,0.33771417,10.60975991,21.09941356,1.33167997,2.06193025,9.25780017,18.46025329,33.54796422,0.62102154,0.39898374,0.42413428,1.77654342,1.38400069,0.00000000,1,0
31,151.49714092,0.33771417,10.72579132,21.06526085,1.33167997,2.06193025,9.25780017,18.45531441,33.54917493,0.62102154,0.24991033,0.42413428,1.77654342,1.26163095,0.00000000,1,0
32,151.49714092,0.33771417,13.22364517,21.09941356,1.33167997,2.06193025,9.25780017,18.45531441,33.54917493,0.62624292,0.25058976,0.42413428,1.77654342,1.35693280,0.00000000,1,0
33,151.49714092,0.33771419,10.65835851,21.08040500,1.33185767,2.06135035,9.27028085,18.45531441,33.54917493,0.62102154,0.40714846,0.42845366,1.78022732,1.32700245,0.00000000,1,0
34,151.49714092,0.33771419,10.65835851,21.09941356,1.33167997,2.06135035,9.25780017,18.45531441,33.54917493,0.62102154,0.40714846,0.42413428,1.77654339,0.67442818,0.00000000,1,0
35,151.49714092,0.33771419,10.65835851,21.09941356,1.33167997,2.06199802,9.25780017,18.45528340,33.54917493,0.62102154,0.40714846,0.42413428,1.77654339,1.22615344,0.00000000,1,0
36,151.49714092,0.34235309,12.44530993,21.09941356,1.35000497,2.06193025,10.54179346,18.45531441,33.54917493,0.62110823,0.25104460,1.88153455,0.17036209,1.24524696,0.00000000,1,0
37,151.49785453,0.27953658,13.34884592,21.12112560,1.33006622,2.06193231,9.10908954,18.78006024,33.85782144,0.62132049,0.24719476,0.47151622,1.86752062,1.37764221,0.00000000,1,0
38,151.49862383,0.21810240,10.74290199,21.09957148,1.36294424,1.58319944,9.26450081,15.49845166,83.11745891,0.57036707,0.07047015,0.93117646,1.34601501,1.23720217,0.00000000,1,0
39,151.50036880,0.34252361,12.49422115,22.35978109,1.33080793,2.05458287,9.13989160,18.45532611,33.54917493,0.61541774,0.23993763,0.47151622,1.80451375,0.89190966,0.00000000,1,0
40,151.50808020,0.27953658,13.20421594,21.10550267,1.33006622,2.06134171,9.26013832,18.46588996,33.54631753,0.56855198,0.25242913,0.44433893,1.82775291,1.26249513,0.00000000,1,0
41,151.51612044,0.33664787,13.30036771,21.98358333,1.33167997,2.06191942,9.25780017,18.77984911,33.54917493,0.61861803,0.25058976,0.82848377,2.03683100,1.16625713,0.00000000,1,0
42,151.53159392,0.34408748,12.48088654,22.35637942,1.33145172,2.05458287,9.22696844,18.77656496,33.54917493,0.61874193,0.24605325,0.82773604,2.02909665,1.31431017,0.00000000,1,0
43,151.54478714,0.33769682,10.60955884,21.39434964,1.33216281,2.06133088,10.53608146,18.45528949,33.54990993,0.61858379,0.25026010,1.88130079,0.16538274,1.38340104,0.00000000,1,0
44,151.55871027,0.33771417,10.55499234,21.09941356,1.33167997,2.06193025,9.25780017,18.45531441,33.54917493,0.62102154,0.06369329,0.82773604,2.03779903,1.25863642,0.00000000,1,0
45,151.58028520,0.22263014,10.63242658,21.04753181,1.67493306,2.41346645,10.63623100,15.48838711,33.84817923,0.91647990,0.06202981,0.68553997,2.07357511,1.18131930,0.00000000,1,0
46,151.58847532,0.33771422,10.65886621,21.39434964,1.34892345,2.06193645,10.53608146,18.45660039,33.95021515,0.62103960,0.41846476,0.51286507,1.83482061,1.33228843,0.00000000,1,0
47,151.67173623,0.33771431,10.61001825,23.58268783,1.33167997,2.06209206,9.34014915,18.45659159,33.59650799,0.91181324,0.40578568,0.54122226,1.84951797,1.36154820,0.00000000,1,0
48,151.67215961,0.33771431,10.61001825,23.51165882,1.33167997,2.06192921,9.26177367,18.45659159,33.59701620,0.91181324,0.40554532,0.54229877,1.85034941,1.27697853,0.00000000,1,0
49,151.77871013,0.34255829,10.65896959,21.05217954,1.34818028,2.06193025,9.25767254,18.45662531,33.96430600,0.62105610,0.40765804,1.10673226,2.10217351,1.31468093,0.00000000,1,0
50,151.96290989,0.22264421,12.60986066,22.36187255,1.77264973,2.40038123,10.63623100,17.58590352,43.85651433,0.56088960,0.40488439,0.86191563,2.30137330,1.28204132,0.00000000,1,0
51,152.30143351,0.22315380,13.32394456,23.55600509,1.32285651,2.06910846,10.63623100,15.43319976,33.71816148,0.56350045,0.06202981,0.56720294,1.91608526,1.11798684,0.00000000,1,0
52,152.32234616,0.33771417,10.60975991,21.93284938,1.33167997,2.06133965,10.69786450,18.45383489,33.54917493,0.56843677,0.40145943,0.84736533,0.18580394,1.30486496,0.00000000,1,0
53,152.32305977,0.27953658,13.34884592,21.95456141,1.33006622,2.06134171,10.54655573,18.77858072,33.85782144,0.56873572,0.39806443,0.84033452,0.12760058,1.29830604,0.00000000,1,0
54,152.32305977,0.28542516,13.34884592,21.08451045,1.33006622,2.06134171,10.54655573,18.44904086,33.85782144,0.56873572,0.39806443,0.84033452,0.13348915,1.36246723,0.00000000,1,0
55,152.32305977,0.34120272,13.35764500,22.36278759,1.33006622,2.06134171,10.54655573,18.77177297,33.85782144,0.56873572,0.39519259,0.84033452,0.18926671,1.25098090,0.00000000,1,0
56,152.34075249,0.33770464,10.55559411,22.35978109,1.30778534,2.05444345,9.26238837,18.45531441,33.54917493,0.57012864,0.24342963,0.53749826,1.83045351,1.45009498,0.00000000,1,0
57,152.34187370,0.33766093,10.60975991,21.10558824,1.32999550,2.06193025,9.25780017,18.79593831,33.54856918,0.56840916,0.25058976,0.49437696,1.76024041,0.97488988,0.00000000,1,0
58,152.34187370,0.33771417,10.51862373,21.09941356,1.32999550,1.57724436,9.25780017,18.45531441,33.56201428,0.56841420,0.25058976,1.06498267,1.26825911,1.63957892,0.00000000,1,0
59,152.34187370,0.33771417,10.60975991,21.09941356,1.32999550,2.06193025,9.25780017,18.45531441,33.56201428,0.56840916,0.25058976,0.49437696,1.76018718,1.22115686,0.00000000,1,0
