Index,goal_center_x,goal_center_y,goal_velocity_min,goal_velocity_max,num_npc,lane_count,npc_x0,npc_v_max,npc_seed,cutin_tx,cutin_delay,Fitness_Min distance to obstacle_LoFi,Fitness_Distance to goal_LoFi,Fitness_Min distance to obstacle_HiFi,Fitness_Distance to goal_HiFi,Critical_LoFi,Critical_HiFi
0,156.14364922,0.41168479,14.42749363,24.52589006,1.54104783,1.04745407,9.39795856,18.01110598,63.68851376,0.57834611,0.08061565,0.64219628,1.68990953,0.76927283,0.00000000,1,0
1,151.84610443,0.14450401,14.65107173,21.96152588,1.92431069,1.42203043,9.16672291,16.50575309,80.03854110,0.63243303,0.20345929,2.62728851,0.00000000,1.68149812,0.00000000,0,0
2,155.89247963,0.20066431,10.02263334,23.05077521,1.23886405,2.70168091,11.29442202,17.51317408,21.07079413,0.54057234,0.43994936,1.28423156,0.00000000,1.51791155,0.00000000,0,0
3,150.16412672,0.25165061,12.15400717,21.46927972,1.44653372,1.94061342,9.89454990,18.89733620,72.64328130,0.93984389,0.16924199,1.00644929,0.67642906,1.25942917,0.00000000,1,0
4,152.15318708,0.15350850,10.90362140,24.32710392,1.08363878,1.70665668,10.30979361,16.42877887,52.44374535,0.71404791,0.10455258,2.72941449,0.00000000,2.93912403,0.00000000,0,0
5,158.98870224,0.00446437,12.74580424,20.55102921,1.38882037,2.99730022,11.68444611,19.82790520,15.17047258,0.78614916,0.34027526,0.70908239,1.97810374,0.00000000,10.31410963,1,1
6,159.04100510,0.47459033,13.51745915,22.56017671,1.15900258,2.40815102,11.74850695,19.44587162,90.22432728,0.65666782,0.03920093,2.29181157,0.00000000,3.25597305,0.00000000,0,0
7,157.02967030,0.30667262,11.92773340,20.25423943,1.86869375,2.10475879,10.04411977,15.71330539,44.68025292,0.84279301,0.26910918,1.19845805,0.00000000,1.41654139,0.00000000,0,0
8,154.50399756,0.36753001,13.39949026,23.56573996,1.77502357,1.34511499,11.05926340,15.10989292,34.40538920,0.97255939,0.49458521,0.78595540,1.52748270,1.58490766,0.00000000,1,0
9,153.00201470,0.06880801,11.23566608,22.09842952,1.61038183,2.38337824,10.52871443,17.49023720,9.26918854,0.89478387,0.36885617,1.52802886,0.00000000,1.95721181,0.00000000,0,0
