Index,goal_center_x,goal_center_y,goal_velocity_min,goal_velocity_max,num_npc,lane_count,npc_x0,npc_v_max,npc_seed,cutin_tx,cutin_delay,Fitness_Min distance to obstacle_LoFi,Fitness_Distance to goal_LoFi,Fitness_Min distance to obstacle_HiFi,Fitness_Distance to goal_HiFi,Critical_LoFi,Critical_HiFi
0,150.00115939,0.35845464,14.70053085,24.00236443,1.06682162,1.59957867,11.92928229,16.15991771,40.78630999,0.50295009,0.48106339,0.98751351,0.87268276,1.72810074,0.00000000,1,0
1,150.08856837,0.11231071,12.79828344,23.49430313,1.46645939,1.77203282,9.07786582,17.68274851,32.34557276,0.55513814,0.23155207,2.42496896,0.00000000,0.57328780,0.00000000,0,0
2,150.10199812,0.45114019,13.42851464,20.93276832,1.47607365,2.99271219,11.65950428,19.27462998,33.22635439,0.98238425,0.26942491,1.44546598,0.00000000,2.45615620,0.00000000,0,0
3,150.11625753,0.06047778,14.22610038,22.64028370,1.09084288,1.28660223,11.92489965,18.34942636,67.67086290,0.92195541,0.45371406,2.71693264,0.00000000,3.99304392,0.00000000,0,0
4,150.12825381,0.05980085,13.49947648,23.28878833,1.21519030,2.81798136,10.29564724,19.35539040,24.84401048,0.64977088,0.09568472,2.56107286,0.00000000,3.23097454,0.00000000,0,0
5,150.14564403,0.12499633,10.28035765,24.96243000,1.59679497,1.95421865,10.05981580,16.69350560,67.82656661,0.57704880,0.48731186,2.71031935,0.00000000,3.11423614,0.00000000,0,0
6,150.20076727,0.39993342,10.45594008,23.58989552,1.66953358,1.57701208,10.88175187,16.33608836,37.97395109,0.80062629,0.34364336,1.70816677,0.06123487,1.63023435,0.00000000,1,0
7,150.28527323,0.17033772,12.37193596,22.93482713,1.53800732,2.15872804,11.02517952,18.66121824,86.15924572,0.75939947,0.13530484,1.60141576,0.00000000,2.17698082,0.00000000,0,0
8,150.68097669,0.04581168,12.13387298,23.13103448,1.85546055,1.56268240,11.15642552,15.33723602,37.61197486,0.79437893,0.36332016,0.93435895,1.49260994,1.67114974,0.00000000,1,0
9,150.92249452,0.14629473,12.09497175,22.79625906,1.18653219,2.09643276,9.90003311,16.86666876,32.83860960,0.88857497,0.32140613,1.61999955,0.00000000,2.01412744,0.00000000,0,0
10,151.04440590,0.23029752,11.88746433,21.26906851,1.98917958,1.77475753,11.01424717,17.26002387,10.48198772,0.80055759,0.14545860,0.97379254,0.55499306,0.86149187,0.00000000,1,0
11,151.05558729,0.01897521,11.46868562,20.73426577,1.00939147,1.73920656,9.27854442,15.83989023,4.01491871,0.95979520,0.35192250,1.18215968,0.48273530,1.65767710,0.00000000,1,0
12,151.27786975,0.38642994,13.56072532,21.70495597,1.07652585,2.97501630,11.55340634,16.20382150,38.66558143,0.91471409,0.02381542,0.87140736,2.07297003,1.30458110,0.00000000,1,0
13,151.43457946,0.38188301,14.29068856,24.14222574,1.93088148,1.79395199,9.12578902,17.74029385,69.71786930,0.84143947,0.03145805,2.66690426,0.00000000,3.54797364,0.00000000,0,0
14,151.45520856,0.01810346,10.40172423,20.48685881,1.69071022,2.17988030,10.22973434,16.26979301,4.95215464,0.92336224,0.29309257,2.50801301,0.00000000,2.81363913,0.00000000,0,0
15,151.47449990,0.32385552,13.14794523,21.76806514,1.41298520,1.71368596,11.84352370,19.45400624,51.27282166,0.71885758,0.28870647,1.42361276,0.69458199,1.02327360,0.00000000,1,0
16,151.48121003,0.41114359,11.37079184,24.22443692,1.80771207,2.84244720,11.15723755,19.23705649,60.28027146,0.77702569,0.28974644,1.89770290,0.00000000,1.22934032,0.00000000,0,0
17,151.51194982,0.13294188,12.45632043,23.10955956,1.53797316,1.64095810,11.08939507,18.74705386,51.66945270,0.92688272,0.31675846,2.64534155,0.00000000,3.45197199,0.00000000,0,0
18,151.51583513,0.13228115,10.67894475,20.14058933,1.21161552,1.83447943,10.30197912,15.85186717,17.34075837,0.61136422,0.02750439,2.37636554,0.00000000,1.67705054,0.00000000,0,0
